time,type,sentCurrency,sentQuantity,receivedCurrency,receivedQuantity,feeCurrency,feeQuantity,id,description
2021-12-19 00:57:4,,,,,,ALGO,0.002,/c5YTNQVR7ChflFfxKj2LqNE9I1VupyX5Qy9jvheimE=,2 txns. 
2021-12-19 00:58:24,,ALGO,55.,,,ALGO,0.002,7of956oILPy958CjkieJjMyGop48yLddodMWgODZC2c=,2 txns. 
2021-12-19 00:59:43,,,,,,ALGO,0.002,gvbQuR60iN0JDGebBBfZvBJ31PTJpo0PsO3G3Kq1v18=,2 txns. 
2021-12-19 01:00:27,,ALGO,15.,,,ALGO,0.002,btpaEQwqtdVOBvzYs/05tvypDmfRcN35vXsR9mNfoGE=,2 txns. 
2021-12-19 01:03:41,,,,,,ALGO,0.002,w2STKE/Evsl3WWBrbDs3HntDLJcmSNJPGoB/LF1cV1o=,2 txns. 
2021-12-19 01:06:45,,ALGO,5.,,,ALGO,0.002,yELvQ1Rulw5V6vZd6d7SxQaUp0p5OqtvYNKHEykulF8=,2 txns. 
2021-12-19 01:08:37,,,,,,ALGO,0.002,2McM1CXRPcnY+2DE8hVZzEbDT2OuXDWRFERGcCsDblE=,2 txns. 
2021-12-19 01:09:16,,ALGO,5.,,,ALGO,0.002,1LrYsy9t9aq9k7dWa2bbc8UMsVolp6RgznYwABlTWK0=,2 txns. 
2021-12-19 02:40:42,,,,ALGO,55.,,,jeXH7qsrI+kBCqVUsfNe6IPgZTSs25ZbOcBtBPVEQO8=,1 txns. 
2021-12-19 02:47:2,,ALGO,60.,,,ALGO,0.002,FYx3M5qNvVEpnY6fAt4bP42x/Mo3Eq22Nb4sGvfYWRY=,2 txns. 
